Position,ApplicationDate,Notes,Source,JobUrl
Software Engineer,2-7-2026,Mid-America Transplant Service,St Louis,,https://www.indeed.com/jobs?q=software+engineer+c%23&l=st.+louis%2C+mo&radius=35&from=searchOnDesktopSerp&cf-turnstile-response=0.Xws2rhlMFIcw8p-JA__iNs_htyeUFiETY4COjnlmj1MLHuTxhqcMwp-3IOyFgsCqH7yqY9mkmInvTYUByCUFYV9DKdDOoH6NT5HHfc5kA7HTRhvGOYkJZsl7jICh0eumNT1cScNek2CGzJ891VWRH1etlX1eni0qaFg6JrecrkwdKkub_ahpKNtoMUn0LLm2nWaZI-esZKpiMX2OcNcRM4-e1gaHSukTU83g3oRGu3CRzHuCOobmLh3FMMMwikUuaPiCjuBlOkPM_Xjo3i5gFwaGVgefHHLrk1Dzoyun6_lIENnvC3fBMnRFyHVYqE45tRvz7NnQuK-xcFjM9lgtEzXrjiFff67kV85hJHZLtqBnQ1xJZAak3suWCbf8cCoqB41JC3x5x-0pAsOuLKOmgH1YadJImHnSSw1hBxWKYp961Rg3H2eRtX2P-WkSX8WJNgfxqNKDMOQZ0LyuVYp6oQd9efu9CKO8jUwV6I4u8kz1FQ4TO_GCBU6uVNav72oRocgiZ3l0HMz9rlL3WtxepKfzIKCT_dYlBBrNFjeCl96oeAjk7cTiGS99vMzZXTa3R-GxAjGw5jgwOMFkJ-y7Mj3lsg8osJ2Qn8GkLlYLJ-Pokpv2-pXU2UDOdfFPis8BwHI4lPUwnfge68OGcAeLqjVe9b-huRaUKrieh5wOTOmrPFwNW_DE_DxumSMYbEmuU2LgtBEl5vjyTBaLwsI22f7ib1K0ISdXqJ7Vnpp-4mOZr6By-GAWhydn4L8CIqpuN2SOWfMy5n8lFRQpTk3N1VQiw3LkxpSV15X9LLzvVencKgXWEljEjaomaI-h4hXimMa_P4G-tUzRRdgyMeUmDkUfwJ1uiNUeXmvF1wag9xtRCbu_srQ7S9-DHuee-Ahit2yPxY4K1YG03yMsnI-Lo9YqIvS-wm3TbmdCnxh_zSw.YztQiOKvWCXPYdUd5e_ZWw.9a1d7246f481b0b30cd3d4403d6e61a4a1caddb4777b9459a7858a912fb494cc&vjk=f46226aa6d01a0ef
C#/.NET Software Developer,2-7-2026,timberline,"St. Louis, Missouri",,https://timberlinegrp.catsone.com/careers/7276-General/jobs/14477391-CNET-Software-Developer
Software System Developer (18334),2-7-2026,Y12,Oak Ridge,,https://www.indeed.com/q-c%23-developer-l-tennessee-jobs.html?vjk=bdaa6ee738ff630b
Software Developer,2-7-2026,BIS,Pine Flats TN,,https://www.indeed.com/viewjob?jk=7d566b9fdc15b0fd&from=shareddesktop_copy
Software Engineer (C#/.NET),2-7-2026,TMS from $60 contract,"Mount Juliet, TN 37122",,https://www.indeed.com/q-c%23-developer-l-tennessee-jobs.html?vjk=261a845476e94ece
Software Developer,2-7-2026,Patriot Machine Inc,"Saint Charles, MO 63301",,"https://www.indeed.com/q-c%23-developer-l-st.-louis,-mo-jobs.html?vjk=3ecbb8e1aececd1b"
Senior .NET Software Engineer,2-7-2026,CoStar Group,Nashville,,https://www.indeed.com/q-c%23-developer-l-tennessee-jobs.html?vjk=ae7fe01d81ab74a6
Senior Full Stack Developer,2-7-2026,OktoRocket,"Franklin, TN 37067",,https://www.indeed.com/viewjob?jk=242e6c9a504a123a&from=shareddesktop_copy
,,,,,
Software Engineer,2-8-2026,K9 recruitment,,,https://www.linkedin.com/jobs/view/4369136116/?refId=&trackingId=
,,,,,
"MES Software Developer (.NET, C#, ASP.NET)",2-9-2026,"TalentBurst, Inc","remote, contract",,https://www.indeed.com/viewjob?jk=d6f1476e9ba53b81&tk=1jh0gkm0soivg801&from=jobi2a&advn=2769455239497812&adid=440379107&ad=-6NYlbfkN0AytblDjMhCTRr2PwXSTF3LlCyagmIhB_qBKYhkTsU9J-VJD4q95ts9e-QUNN1VR2EoXEOiZibnTDLIuuBNYLA08D7RbvNLqwPUvWMSNw6m9LjqopTtUbUUuj625uMRafiqb9bIAXbhvN2owXaERzO5KKZqNqW8vWOW0bfkscfnTgTA-oGbEJ86dpL7sHXIN49-v8aGCLE3qMYiJZlolyotE9L79atKkdt4-v9O8_sYoEYxRctURlKKUiayJSu3j0Y1KzQ6OGLWSOZQo5aaf3jy3UUonkBOg4f1NOOJzzMTdcNiYzoMcq10CflME5sSXcH2lg0IoqReS0FKXbfhxnZ7mj2ATcoG2ADKTnIfwHx6qrMaO-uU3DI4SXL7qf6uqv7gU2gIlRZbKPLWzeiw7lLGRnaS4axgTYpByRkXmio31k3-5LCx3SVDzC8AcNaDjrC5aXVBmei5LeEwyzKY0PARweXvcUGk5TTwd2SjUJUcqHBqCjCQn-02DWR6JORNrBVRq44WJPffepwDNs1dH0y17CgcKf0Yk6Pmo4fUBdM-h55vRvDJgAf9mhrT1TY7_GJnROitIrme6w-WMt8VIjwEo5a_DAdTm_vf-mHrkemaSg%3D%3D&sjdu=W0jaj0pTY_BDBE_MIyOcneEuVP8WUUyP4TIe8fxBRyGY1R9DH7c0Slu1D1C06JAuflYHd4yhEJL4rYOd9vXJ5nCdq9Uu6n0Fk7kshHheWKODL8Puf24ReipaU_PIv_7_k6g2Q3ZPTmjsvzXGIddhsKXXEkEgB-Ow5tjWM5JDgTgAkz1yMwH8gfWlPxMpxuZeTJVmBt4gCyG-7jNWwAoOgPpCzVQqPnpSWHjA7fJHBeq7QeunfC-FIxF6Rl35DmfvDirFyCdWrPjyQG2nsef6MQ&acatk=1jh1c1qudgbjh804&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-US_email&camk=ethIe0s0hefoctjWbJ6ZMQ%3D%3D&jrtk=5-cmh1-1-1jh0gkkujn52q801-d6f1476e9ba53b81&xkcb=SoBe6_M3ngpdHRbBgJ0NbzkdCdPP&xpse=SoDd6_I3nhQIhTyCgh0NbzkdCdPP&xfps=705328e4-2fc7-4dcb-a1fd-483521457e18
Software Engineer III - API,2-9-2026,Verifiable,remote,,https://jobs.lever.co/verifiable/f4f46aea-3635-4a3b-92f2-7cde5e946a5c
"Senior Software Engineer, .NET",2-9-2026,GeneDx,remote,,https://www.genedx.com/careers/openings/?gh_jid=4653704005
Senior .NET Engineer,2-9-2026,CloudPackets,remote,,https://www.linkedin.com/jobs/search/?currentJobId=4370040447&distance=25&geoId=90000384&keywords=software%20engineer&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true
Sr. .NET Developer (Remote),2-9-2026,global life,remote,,https://www.linkedin.com/jobs/search/?currentJobId=4369422861&distance=25&geoId=90000384&keywords=software%20engineer&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true
Dotnet developer,2-9-2026,Mriti InfoSystems Inc.,indian recruiter?,,https://www.linkedin.com/jobs/search/?currentJobId=4353184472&distance=25&geoId=90000384&keywords=software%20engineer&origin=JOB_SEARCH_PAGE_KEYWORD_HISTORY&refresh=true
Senior Dotnet Developer,2-9-2026,"Concorde, Inc · United States (Remote)",,,https://www.linkedin.com/jobs/search/?currentJobId=4360816472&distance=25&geoId=90000384&keywords=software%20engineer&origin=JOB_SEARCH_PAGE_LOCATION_HISTORY&refresh=true
Dotnet Developer ,2-9-2026,Vaiticka Solution,contact 58/h,,https://www.linkedin.com/jobs/search/?currentJobId=4370553161&distance=25&geoId=90000384&keywords=software%20engineer&origin=JOB_SEARCH_PAGE_LOCATION_HISTORY&refresh=true
"Senior Software Engineer - (C#, SQL, Application Development) - ET hours ",2-9-2026,OneStream Software,remote,138k,https://www.linkedin.com/jobs/search/?currentJobId=4307577190&geoId=103644278&keywords=onestream%20software&origin=JOB_SEARCH_PAGE_KEYWORD_AUTOCOMPLETE&refresh=true
Senior Backend Engineer - SQL and C#,2-9-2026,skillable,remote,,https://ats.rippling.com/skillable-careers/jobs/65691707-c28a-488c-915e-d5610ed92726?jobSite=LinkedIn
,,,,,
Senior Dotnet Developer(W2),2-10-2026,Technology Hub Inc,remote,,https://www.linkedin.com/jobs/search/?currentJobId=4370439046&geoId=90000384&keywords=.net%20engineer&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true
